Ch1 Amplitude,Ch2 Amplitude,Cluster
3198.69556,2870.30615,1
3198.708,2833.53784,1
3198.73462,2805.526,1
3198.76855,2667.08374,1
3198.779,2795.2854,1
3198.78247,2719.46655,1
3198.96338,2660.69629,1
3198.97339,2696.36548,1
3199.09424,2804.558,1
3199.11255,2840.74341,1
3199.165,2666.80615,1
3199.23071,2846.85327,1
3199.28369,2734.79956,1
3199.41919,2748.47046,1
3199.45044,2787.00439,1
3199.69531,2777.44263,1
3200.214,2708.63184,1
3200.232,2761.49585,1
3200.26978,2798.319,1
3200.40723,2851.77954,1
3200.52,2688.07,1
3200.70459,2768.96167,1
3200.86182,2834.35767,1
3200.89819,2576.23926,1
3200.9397,2647.17676,1
3201.01758,2745.90845,1
3201.03564,2714.26538,1
3201.05786,2629.41162,1
3201.05981,2729.76123,1
3201.08545,2719.728,1
3201.10376,2669.5498,1
3201.1355,2732.44971,1
3201.32886,2651.00146,1
3201.36,2756.989,1
3201.41,2687.218,1
3201.511,2646.80664,1
3201.66,2681.42163,1
3201.73535,2674.75415,1
3201.95874,2804.91455,1
3202.24878,2656.44458,1
3202.28735,2778.10352,1
3202.441,2548.01172,1
3202.45068,2726.21924,1
3202.50049,2761.50928,1
3202.57886,2823.28345,1
3202.66138,2730.30029,1
3202.68774,2725.109,1
3202.89551,2789.19482,1
3202.96729,2814.816,1
3203.02563,2735.27881,1
3203.177,2778.14941,1
3203.199,2797.94067,1
3203.217,2859.645,1
3203.28516,2713.47534,1
3203.43262,2832.0625,1
3203.57031,2737.94653,1
3203.57764,2755.4292,1
3203.75049,2742.89355,1
3203.75928,2710.32959,1
3203.81348,2813.849,1
3203.82764,2721.22754,1
3203.91138,2777.903,1
3203.92847,2721.7417,1
3204.036,2637.86719,1
3204.05542,2696.69678,1
3204.15161,2806.398,1
3204.31128,2679.66016,1
3204.351,2643.09937,1
3204.36353,2709.9585,1
3204.36621,2664.82861,1
3204.3894,2768.24072,1
3204.401,2720.45972,1
3204.43457,2700.85742,1
3204.44629,2790.95435,1
3204.50635,2689.11646,1
3204.78,2674.13354,1
3204.78418,2672.30127,1
3204.812,2722.96558,1
3205.02246,2809.80542,1
3205.08325,2774.92114,1
3205.12329,2762.08,1
3205.15381,2994.579,1
3205.33569,2625.95679,1
3205.48145,2894.477,1
3205.51245,2650.151,1
3205.589,2642.98071,1
3205.61865,2707.96973,1
3205.64233,2820.41821,1
3205.6687,2820.83032,1
3205.71484,2744.09668,1
3205.886,2827.82324,1
3206.34839,2758.30615,1
3206.85034,2592.703,1
3207.12061,2737.33887,1
3207.18848,2676.86865,1
3207.25854,2649.559,1
3207.32739,2780.07129,1
3207.35229,2806.35718,1
3207.53052,2692.1333,1
3207.54321,2811.12061,1
3207.59937,2674.62817,1
3207.63062,2822.94873,1
3207.87744,2614.8562,1
3207.889,2751.481,1
3207.94067,2610.042,1
3207.94775,2681.6106,1
3207.96826,2725.24365,1
3207.98022,2667.76123,1
3207.983,2857.69336,1
3207.99048,2793.79468,1
3208.05859,2656.595,1
3208.11938,2822.599,1
3208.14673,2622.6626,1
3208.25586,2670.3877,1
3208.347,2734.368,1
3208.48071,2748.41748,1
3208.50659,2707.09546,1
3208.56763,2812.23828,1
3208.882,2715.35278,1
3209.09839,2765.69678,1
3209.136,2833.22314,1
3209.18286,2755.06982,1
3209.23364,2849.947,1
3209.38672,2689.26978,1
3209.452,2668.84668,1
3209.79248,2644.31958,1
3209.842,2748.70923,1
3209.84473,2734.142,1
3209.85254,2588.26563,1
3210.015,2894.29468,1
3210.13818,2903.882,1
3210.27222,2781.476,1
3210.36865,2644.2688,1
3210.41284,2871.27368,1
3210.42676,2716.48169,1
3210.483,2817.21973,1
3210.70679,2736.71143,1
3210.855,2691.1333,1
3210.89331,2554.148,1
3211.05029,2649.33984,1
3211.08,2731.593,1
3211.189,2716.96875,1
3211.209,2758.153,1
3211.26147,2676.2478,1
3211.369,2863.27075,1
3211.36963,2633.67578,1
3211.45,2836.656,1
3211.54126,2662.78833,1
3211.72876,2697.48438,1
3211.74219,2855.18042,1
3211.871,2690.35938,1
3211.88428,2738.21265,1
3211.915,2819.36133,1
3211.95752,2815.19067,1
3212.038,2776.157,1
3212.09888,2674.1355,1
3212.14722,2683.101,1
3212.266,2817.78,1
3212.287,2679.649,1
3212.30127,2845.6936,1
3212.38647,2867.22974,1
3212.3894,2809.9812,1
3212.402,2709.74316,1
3212.52686,2651.82861,1
3212.60059,2727.43213,1
3212.76123,2630.556,1
3212.87817,2832.34033,1
3212.88379,2820.469,1
3213.0874,2723.10474,1
3213.099,2589.28345,1
3213.24243,2745.83472,1
3213.32227,2735.6,1
3213.5166,2647.13232,1
3213.79468,2741.014,1
3213.81128,2699.46313,1
3213.897,2569.4646,1
3213.904,2641.94,1
3213.93384,2796.423,1
3214.01367,2751.001,1
3214.02148,2808.64575,1
3214.174,2692.08569,1
3214.177,2713.36133,1
3214.351,2887.19336,1
3214.367,2759.854,1
3214.404,2651.7334,1
3214.44116,2707.4502,1
3214.46533,2707.16113,1
3214.81226,2652.10352,1
