Ch1 Amplitude,Ch2 Amplitude,Cluster
3219.29175,2700.87158,1
3219.29761,2700.47681,1
3219.355,2621.85913,1
3219.61719,2482.489,1
3219.66553,2579.494,1
3220.08,2637.389,1
3220.09717,2596.68066,1
3220.13843,2628.6936,1
3220.19238,2564.565,1
3220.434,2628.75537,1
3220.569,2540.43726,1
3220.59277,2543.559,1
3220.68262,2599.182,1
3220.711,2513.962,1
3220.72583,2689.284,1
3220.78857,2568.29053,1
3221.32471,2568.576,1
3221.468,2597.78467,1
3221.57959,2678.97559,1
3221.645,2578.987,1
3221.6958,2486.406,1
3221.714,2597.04321,1
3221.82666,2790.63477,1
3221.934,2611.834,1
3221.93726,2484.966,1
3221.972,2667.39038,1
3222.2,2610.50171,1
3222.218,2608.79077,1
3222.37964,2534.51025,1
3222.42065,2589.12329,1
3222.49756,2493.71021,1
3222.542,2719.48047,1
3222.58276,2514.627,1
3222.74072,2586.077,1
3222.7832,2608.09985,1
3222.78979,2746.62915,1
3222.80542,2540.6897,1
3222.88,2654.8645,1
3222.9646,2677.59863,1
3222.97974,2553.4895,1
3223.00879,2549.36084,1
3223.086,2662.68164,1
3223.22046,2666.29224,1
3223.6814,2492.84546,1
3223.76636,2730.32886,1
3223.77759,2549.288,1
3223.805,2642.93359,1
3223.82422,2625.83228,1
3223.85815,2576.592,1
3224.16675,2675.15674,1
3224.231,2456.76978,1
3224.39,2510.34863,1
3224.43652,2477.32446,1
3224.459,2502.85645,1
3224.481,2627.58472,1
3224.53662,2679.95557,1
3224.54053,2588.59888,1
3224.56,2656.61938,1
3224.81934,2648.293,1
3224.89185,2491.785,1
3225.09937,2644.18115,1
3225.11279,2631.433,1
3225.11768,2743.11572,1
3225.121,2661.42114,1
3225.214,2667.036,1
3225.38647,2667.81982,1
3225.40259,2691.73462,1
3225.58813,2659.298,1
3225.605,2606.55762,1
3225.68921,2647.08057,1
3225.77441,2743.75513,1
3225.85864,2562.50977,1
3225.86768,2687.20483,1
3226.08643,2674.04614,1
3226.26587,2642.3667,1
3226.46973,2657.91187,1
3226.72729,2687.37231,1
3226.905,2660.75952,1
3226.97144,2678.6228,1
3226.99463,2524.29126,1
3227.02515,2803.8584,1
3227.1123,2729.85034,1
3227.264,2469.555,1
3227.37,2537.41528,1
3227.62646,6048.68262,4
3227.93921,2481.79517,1
3228.25684,2690.97925,1
3228.293,2673.91968,1
3228.45874,2563.112,1
3228.5708,2661.08569,1
3228.64551,2601.17944,1
3228.941,2560.32056,1
3229.13867,2663.26367,1
3229.1604,2546.90625,1
3229.2312,2655.71,1
3229.23413,2808.40112,1
3229.26245,2510.66772,1
3229.36157,2636.764,1
3229.493,2784.906,1
3229.52271,2614.36523,1
3229.77246,2627.17261,1
3230.09082,2701.47119,1
3230.16553,2581.11548,1
3230.2666,2688.51758,1
3230.295,2606.22778,1
3230.43457,2645.979,1
3230.45972,2676.331,1
3230.736,2692.01953,1
3230.82422,2622.39771,1
3230.87524,2544.15869,1
3230.89282,2635.37573,1
3231.02173,2801.96582,1
3231.11035,2704.85742,1
3231.117,2732.76343,1
3231.298,2773.00464,1
3231.3042,2569.68384,1
